external_id,scenario_id,agent_code,provider_code,synthetic_customer_id,transaction_type,amount,occurred_at,status,anomaly_expected,anomaly_category,injection_start_time
TXN-000015,NORMAL-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0015,cash_out,4000.00,2026-07-11T11:30:00Z,completed,false,,
TXN-000016,NORMAL-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0016,cash_out,2500.00,2026-07-11T11:45:00Z,completed,false,,
TXN-000017,NORMAL-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0017,cash_out,500.00,2026-07-11T12:00:00Z,completed,false,,
TXN-000018,NORMAL-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0018,cash_out,4000.00,2026-07-11T12:15:00Z,completed,false,,
TXN-000019,NORMAL-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0019,cash_out,2500.00,2026-07-11T12:30:00Z,completed,false,,
TXN-000020,NORMAL-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0020,cash_in,500.00,2026-07-11T12:45:00Z,completed,false,,
TXN-000021,NORMAL-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0021,cash_in,4000.00,2026-07-11T13:00:00Z,completed,false,,
TXN-000022,NORMAL-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0022,cash_in,4000.00,2026-07-11T13:15:00Z,completed,false,,
TXN-000023,NORMAL-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0023,cash_in,2000.00,2026-07-11T13:30:00Z,completed,false,,
TXN-000024,NORMAL-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0024,cash_out,3000.00,2026-07-11T13:45:00Z,completed,false,,
TXN-000049,REPEATED-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0001,cash_in,3000.00,2026-07-11T08:00:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000050,REPEATED-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0002,cash_out,4000.00,2026-07-11T08:15:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000051,REPEATED-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0003,cash_out,500.00,2026-07-11T08:30:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000052,REPEATED-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0004,cash_out,1000.00,2026-07-11T08:45:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000053,REPEATED-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0005,cash_in,3000.00,2026-07-11T09:00:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000054,REPEATED-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0006,cash_out,2500.00,2026-07-11T09:15:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000055,REPEATED-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0007,cash_in,4000.00,2026-07-11T09:30:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000056,REPEATED-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0008,cash_out,4000.00,2026-07-11T09:45:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000057,REPEATED-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0009,cash_in,1000.00,2026-07-11T10:00:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000058,REPEATED-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0010,cash_in,2500.00,2026-07-11T10:15:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000059,REPEATED-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0011,cash_in,2500.00,2026-07-11T10:30:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000060,REPEATED-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0012,cash_out,500.00,2026-07-11T10:45:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000061,REPEATED-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0013,cash_out,4000.00,2026-07-11T11:00:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000062,REPEATED-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0014,cash_in,500.00,2026-07-11T11:15:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000063,REPEATED-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0015,cash_in,500.00,2026-07-11T11:30:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000064,REPEATED-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0016,cash_out,4000.00,2026-07-11T11:45:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000065,REPEATED-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0017,cash_in,1000.00,2026-07-11T12:00:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000066,REPEATED-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0018,cash_out,2500.00,2026-07-11T12:15:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000067,REPEATED-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0019,cash_out,2500.00,2026-07-11T12:30:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000068,REPEATED-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0020,cash_out,1000.00,2026-07-11T12:45:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000069,REPEATED-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0021,cash_in,3000.00,2026-07-11T13:00:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000073,REPEATED-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-REPEAT-01,cash_in,5000.00,2026-07-11T13:00:00Z,completed,true,repeated_amounts,2026-07-11T13:00:00Z
TXN-000074,REPEATED-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-REPEAT-02,cash_in,5000.00,2026-07-11T13:04:00Z,completed,true,repeated_amounts,2026-07-11T13:00:00Z
TXN-000075,REPEATED-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-REPEAT-03,cash_in,5000.00,2026-07-11T13:08:00Z,completed,true,repeated_amounts,2026-07-11T13:00:00Z
TXN-000076,REPEATED-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-REPEAT-04,cash_in,5000.00,2026-07-11T13:12:00Z,completed,true,repeated_amounts,2026-07-11T13:00:00Z
TXN-000070,REPEATED-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0022,cash_out,3000.00,2026-07-11T13:15:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000077,REPEATED-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-REPEAT-05,cash_in,5050.00,2026-07-11T13:16:00Z,completed,true,repeated_amounts,2026-07-11T13:00:00Z
TXN-000071,REPEATED-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0023,cash_out,2000.00,2026-07-11T13:30:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000072,REPEATED-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0024,cash_out,500.00,2026-07-11T13:45:00Z,completed,false,,2026-07-11T13:00:00Z
TXN-000025,SHORTAGE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0001,cash_in,1500.00,2026-07-11T08:00:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000026,SHORTAGE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0002,cash_in,3000.00,2026-07-11T08:15:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000027,SHORTAGE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0003,cash_in,2500.00,2026-07-11T08:30:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000028,SHORTAGE-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0004,cash_in,2500.00,2026-07-11T08:45:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000029,SHORTAGE-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0005,cash_in,1000.00,2026-07-11T09:00:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000030,SHORTAGE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0006,cash_out,1500.00,2026-07-11T09:15:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000031,SHORTAGE-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0007,cash_in,3000.00,2026-07-11T09:30:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000032,SHORTAGE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0008,cash_in,1000.00,2026-07-11T09:45:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000033,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0009,cash_out,2000.00,2026-07-11T10:00:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000034,SHORTAGE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0010,cash_in,1000.00,2026-07-11T10:15:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000035,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0011,cash_in,1000.00,2026-07-11T10:30:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000036,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0012,cash_in,2000.00,2026-07-11T10:45:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000037,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0013,cash_in,1000.00,2026-07-11T11:00:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000038,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0014,cash_in,1000.00,2026-07-11T11:15:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000039,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0015,cash_in,3000.00,2026-07-11T11:30:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000040,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0016,cash_in,2500.00,2026-07-11T11:45:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000041,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0017,cash_in,1000.00,2026-07-11T12:00:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000042,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0018,cash_in,500.00,2026-07-11T12:15:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000043,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0019,cash_in,1000.00,2026-07-11T12:30:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000044,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0020,cash_in,4000.00,2026-07-11T12:45:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000045,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0021,cash_in,2500.00,2026-07-11T13:00:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000046,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0022,cash_in,2000.00,2026-07-11T13:15:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000047,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0023,cash_in,2500.00,2026-07-11T13:30:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000048,SHORTAGE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0024,cash_in,3000.00,2026-07-11T13:45:00Z,completed,false,,2026-07-11T12:00:00Z
TXN-000078,STALE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0001,cash_in,500.00,2026-07-11T08:00:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000079,STALE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0002,cash_in,2500.00,2026-07-11T08:15:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000080,STALE-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0003,cash_in,2500.00,2026-07-11T08:30:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000081,STALE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0004,cash_in,500.00,2026-07-11T08:45:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000082,STALE-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0005,cash_in,1000.00,2026-07-11T09:00:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000083,STALE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0006,cash_in,4000.00,2026-07-11T09:15:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000084,STALE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0007,cash_in,2500.00,2026-07-11T09:30:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000085,STALE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0008,cash_out,3000.00,2026-07-11T09:45:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000086,STALE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0009,cash_in,2500.00,2026-07-11T10:00:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000087,STALE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0010,cash_out,1000.00,2026-07-11T10:15:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000088,STALE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0011,cash_out,1000.00,2026-07-11T10:30:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000089,STALE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0012,cash_in,3000.00,2026-07-11T10:45:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000090,STALE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0013,cash_out,2000.00,2026-07-11T11:00:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000091,STALE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0014,cash_out,4000.00,2026-07-11T11:15:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000092,STALE-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0015,cash_in,3000.00,2026-07-11T11:30:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000093,STALE-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0016,cash_in,500.00,2026-07-11T11:45:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000094,STALE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0017,cash_out,4000.00,2026-07-11T12:00:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000095,STALE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0018,cash_in,1000.00,2026-07-11T12:15:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000096,STALE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0019,cash_out,1000.00,2026-07-11T12:30:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000097,STALE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0020,cash_in,1500.00,2026-07-11T12:45:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000098,STALE-001,AGENT-SYL-001,NAGAD_SIM,CUSTOMER-0021,cash_in,4000.00,2026-07-11T13:00:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000099,STALE-001,AGENT-SYL-001,BKASH_SIM,CUSTOMER-0022,cash_out,4000.00,2026-07-11T13:15:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000100,STALE-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0023,cash_in,500.00,2026-07-11T13:30:00Z,completed,false,,2026-07-11T14:00:00Z
TXN-000101,STALE-001,AGENT-SYL-001,ROCKET_SIM,CUSTOMER-0024,cash_in,500.00,2026-07-11T13:45:00Z,completed,false,,2026-07-11T14:00:00Z
